,coefficient,word
405,-0.13289112339811307,usgs
406,-0.13281543381256003,put
407,-0.1319177829545622,megantic
408,-0.13188563577510137,extremely
409,-0.13132990358649796,blacknight
410,-0.13065423849514515,camp
411,-0.1303443262666641,politics
412,-0.13031301346294444,hike
413,-0.1300866786093254,drought
414,-0.1298059385969286,sghail
415,-0.12965539374510168,tragedies
416,-0.12928159093984123,understand
417,-0.12919064915054432,flower
418,-0.12755688448037417,wear
419,-0.12723421699059942,puberty
420,-0.12664567611573904,felt
421,-0.12615788987737747,win
422,-0.12602950889609302,easy
423,-0.12568361890686403,auspol
424,-0.12556300586427077,tbt
425,-0.12540573008654934,humanity
426,-0.12509246682375602,sister
427,-0.12434121394047765,black
428,-0.12426371352750884,nice
429,-0.12325110965001522,musi
430,-0.12315366749989752,cute
431,-0.12293637669856847,goodnight
432,-0.12288766052729619,genocide
433,-0.12200343025626288,hrw
434,-0.1216301199371656,fly
435,-0.12054263744525368,boys
436,-0.12009371753502394,quick
437,-0.12005354673952441,bird
438,-0.11976598072551153,cowx
439,-0.1196135659685159,fufu
440,-0.11956248907721354,mahasen
441,-0.11954372907017288,worldwide
442,-0.11937490924170467,indoors
443,-0.1186503321507798,fast
444,-0.11859510234536168,clash
445,-0.11846071085046374,yuck
446,-0.11839084185012613,empty
447,-0.11834668573608655,canny
